Steppingstone sampler:
        No Stones:                  500
        Start It:                   200000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.995007	3750	1.784651	1.784651
1	0.990030	3750	1.786257	3.570908
2	0.985067	3750	1.791782	5.362690
3	0.980120	3750	1.793643	7.156333
4	0.975187	3750	1.775640	8.931973
5	0.970269	3750	1.782536	10.714509
6	0.965367	3750	1.752451	12.466960
7	0.960479	3750	1.734054	14.201014
8	0.955606	3750	1.747716	15.948729
9	0.950747	3750	1.711339	17.660069
10	0.945904	3750	1.702166	19.362235
11	0.941076	3750	1.694794	21.057029
12	0.936262	3750	1.669608	22.726636
13	0.931463	3750	1.720043	24.446680
14	0.926679	3750	1.697902	26.144582
15	0.921910	3750	1.706013	27.850595
16	0.917155	3750	1.709511	29.560107
17	0.912415	3750	1.700705	31.260812
18	0.907690	3750	1.670835	32.931646
19	0.902980	3750	1.656539	34.588185
20	0.898284	3750	1.670577	36.258763
21	0.893603	3750	1.677476	37.936238
22	0.888937	3750	1.622338	39.558576
23	0.884285	3750	1.628843	41.187419
24	0.879648	3750	1.636017	42.823437
25	0.875026	3750	1.636568	44.460005
26	0.870418	3750	1.643641	46.103646
27	0.865825	3750	1.626960	47.730606
28	0.861246	3750	1.599512	49.330118
29	0.856682	3750	1.602093	50.932211
30	0.852132	3750	1.620471	52.552682
31	0.847597	3750	1.600958	54.153640
32	0.843077	3750	1.581841	55.735481
33	0.838571	3750	1.595975	57.331456
34	0.834079	3750	1.599390	58.930846
35	0.829602	3750	1.578570	60.509417
36	0.825140	3750	1.569540	62.078956
37	0.820691	3750	1.606220	63.685177
38	0.816258	3750	1.593050	65.278226
39	0.811838	3750	1.567367	66.845593
40	0.807433	3750	1.565545	68.411138
41	0.803043	3750	1.558190	69.969328
42	0.798667	3750	1.532102	71.501430
43	0.794305	3750	1.550178	73.051607
44	0.789957	3750	1.576901	74.628509
45	0.785624	3750	1.509961	76.138470
46	0.781305	3750	1.498285	77.636755
47	0.777000	3750	1.509444	79.146199
48	0.772710	3750	1.499876	80.646075
49	0.768433	3750	1.525662	82.171737
50	0.764172	3750	1.513985	83.685722
51	0.759924	3750	1.473089	85.158812
52	0.755690	3750	1.449621	86.608432
53	0.751471	3750	1.465879	88.074311
54	0.747266	3750	1.504023	89.578334
55	0.743075	3750	1.447550	91.025885
56	0.738898	3750	1.489857	92.515742
57	0.734735	3750	1.439434	93.955176
58	0.730586	3750	1.443374	95.398550
59	0.726452	3750	1.418011	96.816561
60	0.722331	3750	1.446716	98.263277
61	0.718225	3750	1.455703	99.718979
62	0.714132	3750	1.434653	101.153632
63	0.710054	3750	1.410141	102.563773
64	0.705989	3750	1.390020	103.953793
65	0.701939	3750	1.405651	105.359444
66	0.697902	3750	1.434769	106.794213
67	0.693880	3750	1.380937	108.175151
68	0.689871	3750	1.372563	109.547713
69	0.685877	3750	1.364410	110.912123
70	0.681896	3750	1.371400	112.283524
71	0.677929	3750	1.364261	113.647785
72	0.673976	3750	1.365785	115.013570
73	0.670037	3750	1.345879	116.359448
74	0.666112	3750	1.356930	117.716378
75	0.662201	3750	1.333885	119.050263
76	0.658303	3750	1.333747	120.384010
77	0.654419	3750	1.354154	121.738164
78	0.650549	3750	1.338809	123.076974
79	0.646693	3750	1.321449	124.398422
80	0.642851	3750	1.336949	125.735371
81	0.639022	3750	1.313817	127.049187
82	0.635207	3750	1.337446	128.386633
83	0.631405	3750	1.307561	129.694195
84	0.627618	3750	1.326612	131.020806
85	0.623844	3750	1.264542	132.285348
86	0.620083	3750	1.283662	133.569010
87	0.616337	3750	1.284221	134.853231
88	0.612604	3750	1.283035	136.136266
89	0.608884	3750	1.268504	137.404770
90	0.605178	3750	1.260525	138.665295
91	0.601486	3750	1.226065	139.891360
92	0.597807	3750	1.249790	141.141150
93	0.594142	3750	1.245366	142.386516
94	0.590490	3750	1.230395	143.616911
95	0.586852	3750	1.244272	144.861183
96	0.583227	3750	1.229175	146.090358
97	0.579616	3750	1.258468	147.348826
98	0.576018	3750	1.225707	148.574533
99	0.572433	3750	1.226524	149.801057
100	0.568862	3750	1.215534	151.016592
101	0.565305	3750	1.212331	152.228922
102	0.561761	3750	1.227320	153.456242
103	0.558230	3750	1.187127	154.643369
104	0.554712	3750	1.197325	155.840695
105	0.551208	3750	1.202203	157.042898
106	0.547717	3750	1.176908	158.219806
107	0.544240	3750	1.175598	159.395404
108	0.540775	3750	1.182387	160.577790
109	0.537324	3750	1.176041	161.753831
110	0.533887	3750	1.158312	162.912143
111	0.530462	3750	1.153066	164.065209
112	0.527051	3750	1.164725	165.229934
113	0.523653	3750	1.164622	166.394556
114	0.520268	3750	1.135047	167.529603
115	0.516896	3750	1.147238	168.676841
116	0.513537	3750	1.134719	169.811561
117	0.510192	3750	1.154135	170.965696
118	0.506859	3750	1.091810	172.057506
119	0.503540	3750	1.097946	173.155452
120	0.500234	3750	1.113039	174.268491
121	0.496941	3750	1.105151	175.373642
122	0.493660	3750	1.109651	176.483293
123	0.490393	3750	1.087166	177.570459
124	0.487139	3750	1.101286	178.671745
125	0.483898	3750	1.115675	179.787420
126	0.480670	3750	1.077628	180.865049
127	0.477455	3750	1.066776	181.931825
128	0.474253	3750	1.043738	182.975563
129	0.471063	3750	1.083946	184.059509
130	0.467887	3750	1.052594	185.112103
131	0.464723	3750	1.079967	186.192069
132	0.461573	3750	1.065511	187.257580
133	0.458435	3750	1.037869	188.295450
134	0.455310	3750	1.038379	189.333829
135	0.452198	3750	1.047602	190.381431
136	0.449098	3750	1.037766	191.419197
137	0.446012	3750	1.039602	192.458799
138	0.442938	3750	1.031970	193.490768
139	0.439877	3750	1.013546	194.504315
140	0.436829	3750	1.006694	195.511008
141	0.433793	3750	1.003381	196.514389
142	0.430770	3750	0.995643	197.510032
143	0.427760	3750	1.024297	198.534329
144	0.424762	3750	0.985266	199.519594
145	0.421777	3750	1.010760	200.530354
146	0.418805	3750	0.997781	201.528135
147	0.415845	3750	0.965883	202.494018
148	0.412898	3750	0.962858	203.456876
149	0.409963	3750	0.960129	204.417005
150	0.407041	3750	0.962959	205.379963
151	0.404132	3750	0.965279	206.345242
152	0.401235	3750	0.950071	207.295314
153	0.398350	3750	0.961135	208.256448
154	0.395478	3750	0.946937	209.203386
155	0.392619	3750	0.955163	210.158548
156	0.389772	3750	0.935939	211.094487
157	0.386937	3750	0.946382	212.040869
158	0.384115	3750	0.913347	212.954216
159	0.381305	3750	0.935985	213.890202
160	0.378507	3750	0.928530	214.818731
161	0.375722	3750	0.921725	215.740456
162	0.372949	3750	0.922516	216.662973
163	0.370189	3750	0.888345	217.551318
164	0.367440	3750	0.913655	218.464973
165	0.364705	3750	0.914544	219.379518
166	0.361981	3750	0.883969	220.263486
167	0.359269	3750	0.888159	221.151645
168	0.356570	3750	0.883363	222.035008
169	0.353883	3750	0.875966	222.910974
170	0.351208	3750	0.898050	223.809024
171	0.348546	3750	0.865112	224.674135
172	0.345895	3750	0.870956	225.545091
173	0.343257	3750	0.876197	226.421288
174	0.340630	3750	0.864022	227.285310
175	0.338016	3750	0.847665	228.132975
176	0.335414	3750	0.840410	228.973385
177	0.332824	3750	0.849138	229.822523
178	0.330246	3750	0.847744	230.670266
179	0.327680	3750	0.847169	231.517435
180	0.325126	3750	0.826030	232.343465
181	0.322584	3750	0.825470	233.168935
182	0.320054	3750	0.826087	233.995022
183	0.317536	3750	0.815756	234.810778
184	0.315030	3750	0.809618	235.620396
185	0.312535	3750	0.809249	236.429645
186	0.310053	3750	0.800821	237.230466
187	0.307582	3750	0.805318	238.035783
188	0.305124	3750	0.778138	238.813921
189	0.302677	3750	0.760937	239.574858
190	0.300242	3750	0.771613	240.346471
191	0.297819	3750	0.761829	241.108300
192	0.295407	3750	0.777637	241.885937
193	0.293007	3750	0.783236	242.669174
194	0.290619	3750	0.771419	243.440593
195	0.288243	3750	0.770158	244.210751
196	0.285879	3750	0.775298	244.986049
197	0.283526	3750	0.759230	245.745278
198	0.281184	3750	0.758197	246.503475
199	0.278855	3750	0.738779	247.242254
200	0.276537	3750	0.746198	247.988452
201	0.274230	3750	0.745904	248.734357
202	0.271936	3750	0.740326	249.474683
203	0.269652	3750	0.729527	250.204210
204	0.267381	3750	0.732700	250.936909
205	0.265121	3750	0.722343	251.659252
206	0.262872	3750	0.722135	252.381387
207	0.260635	3750	0.721732	253.103119
208	0.258409	3750	0.706399	253.809518
