Steppingstone sampler:
        No Stones:                  500
        Start It:                   200000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.995007	3750	1.808236	1.808236
1	0.990030	3750	1.807786	3.616022
2	0.985067	3750	1.776024	5.392046
3	0.980120	3750	1.722974	7.115020
4	0.975187	3750	1.788714	8.903734
5	0.970269	3750	1.808479	10.712213
6	0.965367	3750	1.728798	12.441011
7	0.960479	3750	1.752040	14.193051
8	0.955606	3750	1.732400	15.925451
9	0.950747	3750	1.757081	17.682532
10	0.945904	3750	1.740121	19.422653
11	0.941076	3750	1.754987	21.177640
12	0.936262	3750	1.723373	22.901013
13	0.931463	3750	1.735955	24.636968
14	0.926679	3750	1.716680	26.353648
15	0.921910	3750	1.707093	28.060741
16	0.917155	3750	1.683110	29.743851
17	0.912415	3750	1.693909	31.437760
18	0.907690	3750	1.686918	33.124678
19	0.902980	3750	1.684391	34.809069
20	0.898284	3750	1.696927	36.505996
21	0.893603	3750	1.697712	38.203708
22	0.888937	3750	1.654517	39.858225
23	0.884285	3750	1.646947	41.505172
24	0.879648	3750	1.650819	43.155991
25	0.875026	3750	1.655243	44.811235
26	0.870418	3750	1.671235	46.482470
27	0.865825	3750	1.669646	48.152116
28	0.861246	3750	1.600050	49.752166
29	0.856682	3750	1.592278	51.344444
30	0.852132	3750	1.581109	52.925553
31	0.847597	3750	1.621118	54.546671
32	0.843077	3750	1.611658	56.158329
33	0.838571	3750	1.560953	57.719282
34	0.834079	3750	1.579942	59.299225
35	0.829602	3750	1.578868	60.878093
36	0.825140	3750	1.591726	62.469819
37	0.820691	3750	1.574701	64.044520
38	0.816258	3750	1.538741	65.583261
39	0.811838	3750	1.546323	67.129584
40	0.807433	3750	1.547389	68.676973
41	0.803043	3750	1.521073	70.198046
42	0.798667	3750	1.520961	71.719006
43	0.794305	3750	1.496060	73.215067
44	0.789957	3750	1.545910	74.760977
45	0.785624	3750	1.513193	76.274170
46	0.781305	3750	1.523942	77.798112
47	0.777000	3750	1.508984	79.307096
48	0.772710	3750	1.513211	80.820306
49	0.768433	3750	1.504145	82.324452
50	0.764172	3750	1.526971	83.851423
51	0.759924	3750	1.492169	85.343591
52	0.755690	3750	1.484637	86.828228
53	0.751471	3750	1.483318	88.311546
54	0.747266	3750	1.428421	89.739967
55	0.743075	3750	1.444566	91.184533
56	0.738898	3750	1.477584	92.662117
57	0.734735	3750	1.450854	94.112972
58	0.730586	3750	1.455052	95.568024
59	0.726452	3750	1.420495	96.988519
60	0.722331	3750	1.421271	98.409790
61	0.718225	3750	1.436249	99.846039
62	0.714132	3750	1.447210	101.293249
63	0.710054	3750	1.428653	102.721902
64	0.705989	3750	1.409696	104.131598
65	0.701939	3750	1.421469	105.553067
66	0.697902	3750	1.381121	106.934188
67	0.693880	3750	1.397076	108.331264
68	0.689871	3750	1.389062	109.720327
69	0.685877	3750	1.387718	111.108044
70	0.681896	3750	1.379776	112.487821
71	0.677929	3750	1.351888	113.839709
72	0.673976	3750	1.367276	115.206985
73	0.670037	3750	1.321688	116.528673
74	0.666112	3750	1.347252	117.875925
75	0.662201	3750	1.355590	119.231516
76	0.658303	3750	1.359029	120.590544
77	0.654419	3750	1.348397	121.938941
78	0.650549	3750	1.331088	123.270029
79	0.646693	3750	1.317519	124.587548
80	0.642851	3750	1.324311	125.911859
81	0.639022	3750	1.327202	127.239061
82	0.635207	3750	1.292675	128.531736
83	0.631405	3750	1.312031	129.843766
84	0.627618	3750	1.310407	131.154173
85	0.623844	3750	1.288308	132.442481
86	0.620083	3750	1.316339	133.758821
87	0.616337	3750	1.273156	135.031977
88	0.612604	3750	1.271252	136.303229
89	0.608884	3750	1.299111	137.602339
90	0.605178	3750	1.277800	138.880139
91	0.601486	3750	1.248479	140.128618
92	0.597807	3750	1.233348	141.361966
93	0.594142	3750	1.251485	142.613451
94	0.590490	3750	1.225068	143.838520
95	0.586852	3750	1.235512	145.074032
96	0.583227	3750	1.245010	146.319041
97	0.579616	3750	1.223423	147.542465
98	0.576018	3750	1.197004	148.739468
99	0.572433	3750	1.185595	149.925064
100	0.568862	3750	1.199529	151.124593
101	0.565305	3750	1.221947	152.346539
102	0.561761	3750	1.212627	153.559166
103	0.558230	3750	1.196188	154.755354
104	0.554712	3750	1.196692	155.952046
105	0.551208	3750	1.182080	157.134126
106	0.547717	3750	1.176004	158.310130
107	0.544240	3750	1.176913	159.487043
108	0.540775	3750	1.182732	160.669775
109	0.537324	3750	1.166420	161.836195
110	0.533887	3750	1.157262	162.993457
111	0.530462	3750	1.150257	164.143714
112	0.527051	3750	1.169054	165.312768
113	0.523653	3750	1.144186	166.456954
114	0.520268	3750	1.139571	167.596524
115	0.516896	3750	1.146210	168.742734
116	0.513537	3750	1.142271	169.885005
117	0.510192	3750	1.132301	171.017305
118	0.506859	3750	1.129792	172.147097
119	0.503540	3750	1.132381	173.279478
120	0.500234	3750	1.113039	174.392517
121	0.496941	3750	1.105141	175.497658
122	0.493660	3750	1.110069	176.607726
123	0.490393	3750	1.103826	177.711552
124	0.487139	3750	1.098042	178.809593
125	0.483898	3750	1.077998	179.887592
126	0.480670	3750	1.104854	180.992445
127	0.477455	3750	1.096805	182.089250
128	0.474253	3750	1.076514	183.165764
129	0.471063	3750	1.090506	184.256270
130	0.467887	3750	1.076677	185.332947
131	0.464723	3750	1.053857	186.386804
132	0.461573	3750	1.045431	187.432235
133	0.458435	3750	1.036524	188.468759
134	0.455310	3750	1.041948	189.510707
135	0.452198	3750	1.049676	190.560383
